ident
GCA_003543655
GCA_014647455
GCA_014652755
GCA_902728295
GCF_000225125
GCF_000250055
GCF_000356585
GCF_000709245
GCF_001441335
GCF_001580255
GCF_001614695
GCF_001866075
GCF_002015275
GCF_002223415
GCF_002310555
GCF_002459845
GCF_002920975
GCF_003982995
GCF_005153645
GCF_009768845
GCF_011682835
GCF_012955465
GCF_013370615
GCF_013395015
GCF_013416345
GCF_013416395
GCF_013416405
GCF_013416435
GCF_013416445
GCF_013416455
GCF_013416485
GCF_013420665
GCF_013421455
GCF_013421545
GCF_013421555
GCF_013425615
GCF_013456775
GCF_013624435
GCF_013749075
GCF_014041505
GCF_014041645
GCF_014041735
GCF_014041845
GCF_014058445
GCF_014075335
GCF_014076595
GCF_014076685
GCF_014108845
GCF_014168795
GCF_014169135
GCF_014169375
GCF_014180705
GCF_014217505
GCF_014220635
GCF_014250335
GCF_014280995
GCF_014305235
GCF_014305285
GCF_014526265
GCF_014528595
GCF_014595995
GCF_014656565
GCF_900636285
GCF_901420185
GCF_902376105
GCF_902381695
GCF_902386875
GCF_902810075
GCF_902810305
GCF_903644065
GCF_903772965
GCF_903992995
